스킬ID,스킬
25454,인생역전 3대운 풀이: 대운은 언제 들어올까?
34575,절대로 놓치면 안 될 결혼 상대와 시기는?
21734,그 사람 속마음 [심화]
16585,2022년 솔로탈출시기
-,-
42392,2025년 솔로 탈출 시기
39091,재회 타로 : 그 사람의 첫 연락
23086,D-DAY 타로: 솔로 탈출까지 며칠 남았을까?
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연
18270,그 사람 아직 나한테 미련 있을까?
55360,2026년 신년운세 보고서
41368,2024년 하반기 운세 보고서
41764,[창광] 24년 하반기 사랑운과 인연운
40510,2024년 하반기 솔로 탈출 시기
18933,인생 피는 필승 사주 : 내 인생 언제 필까? + 필승 개운법 일주 풀이
16426,좋아하는 그 사람의 속마음은?
22064,내 사주의 악인(惡人): 싹을 잘라야 할 불행의 근원
21766,그 사람과 나의 결혼 궁합
44899,임신 타로: 이번 달 우리 아기 찾아올까?
44108,2025년에 찾아올 두 명의 인연
55723,2026년 솔로 탈출 시기
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다"
32425,2024년 놓치면 안 될 3번의 기회
32365,사주 살풀이: 타고난 살과 2024년의 살
45097,헤어진 X와 재회할 수 있을까?
2505,지금 날 좋아하는 사람은?
36617,2024년 갑진년 운세 [통합편]
48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶
26214,그 사람도 날 좋아할까?
35701,2024년에 찾아올 두 명의 인연
2326,그 사람과 나의 속궁합
50014,2025년 하반기 운세 보고서
51301,사주+타로: 임신운 심층 분석
43685,[창광] 25년 을사년 직업운과 합격운
18142,"다음 연애 언제, 어디서 시작될까?"
400,다시 만날 수 있을까
24008,절대 놓치면 안 될 결혼 상대와 시기는?
42660,"우리 커플 삼단궁합 : 연애궁합, 속궁합, 결혼궁합"
51565,2025년 하반기 솔로 탈출 시기
30940,이 사랑의 결말: 그 사람과 나의 인연
34075,"불안한 사랑, 우리 관계의 미래는?"
24870,내 운명의 인연 + 도화살 풀이
16717,인생 피는 필승 개운법: 일주 풀이
24475,팔자가 바뀌는 6번의 기회
39852,"내 운명의 연애, 몇 번 남았을까?"
43684,[창광] 25년 을사년 재물운과 문서운
18664,내 사주는 부자 사주 vs 가난한 사주
42029,[창광] 24년 하반기 재물운과 문서운
16377,3개월 안에 다시 만날 수 있을까?
36510,2024 갑진년 운세: 합격과 커리어
31336,인생 역전의 비밀: 내 사주의 주목할 운명(運命)은?
43249,"사주 직업 컨설팅: 사업, 직장, 업종"
18631,3개월 안에 애인 생길까?
39421,나는 결혼해야 좋은 팔자일까?
19005,(임시)2022년 하반기 운세 보고서
-,[스킬 정보 없음] 블록: 3카드속마음_할인인트로 (블록 ID: 419968)
26009,"내 사주로 월 1,000만 원 버는 부업은?"
42031,[창광] 24년 하반기 운세 통합본
23089,연봉 상승 비책: 올해 취업•이직운
21371,2022년 하반기 운세 보고서
49519,임신운 풀이: 삼신할매가 점지한 우리 아가
48892,🩵하늘이 맺어준 혼인길 점괘🩵
42062,사주 살풀이: 타고난 살과 2025년의 살
22195,사주로 보는 미래: 나는 언제 출세할까?
20546,나에게 남은 연애 기회는?
20017,반드시 잡아야 할 내 인생의 귀인은?
19002,이별리셋 패키지: 전애인 후폭풍 + 재회운
22426,내 인생의 귀인 + 피해야 할 악인은?
30677,내 운명의 숨겨진 방향성
20347,내 인생의 귀인 + 운명의 상대는?
18639,걔는 나를 연애 상대로 볼까?
19315,2022년 놓치면 안 될 3번의 기회
23885,타고난 재물운: 내 사주에 돈복 있을까?
21271,2022년 하반기 솔로탈출시기
18765,네이탈 차트: 내 타고난 성격 리포트
35527,사주 궁합으로 보는 우리의 현재와 미래
18641,걔도 지금 나 보고 싶을까?
29951,반드시 손절해야 할 내 인생 3명의 악인
34385,[2인 할인] 2024년 신년운세 보고서
40708,"이별, 그 후… 너와 나의 속마음"
26213,2023년 솔로 탈출 시기 + 사주로 보는 결혼 상대
51499,[창광] 25년 하반기 운세 통합편
42028,[창광] 24년 하반기 직업운과 합격운
25991,내 사주의 재혼운: 재혼해도 잘 살까?
26500,"내 사주의 천생연분, 어떤 사람일까?"
38993,사주로 보는 결혼 : 그 사람의 본심 👤
41074,[완결판] 곧 다가올 나의 인생 연애
34952,손금으로 보는 결혼운 : 결혼하면 어떨까?
24779,재회 타로: 우리가 헤어진 진짜 이유
25034,내 아이의 합격운: 인생 피는 진로 풀이
18467,먼저 연락 올 확률은?
18301,{{이름}}[[이의/의]] 7월 종합운
34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지
26374,그 사람과 나의 결혼 궁합 + 속 궁합
16378,짝사랑 이루어질까?
18105,다가올 인연의 외모·성격·직업은?
27706,비로소 만나게 될 나의 운명
52621,{{이름}}님의 3번의 결정적 결혼수💍
30282,내 운이 트이는 동네는?(경기도 편)
16816,이름풀이 - 운명과 주의할 점
54668,결혼 사주 즉문즉답: 시기・상대・개운・팔자
19390,"2022년의 연애, 언제 어떻게 시작될까?"
17212,그 사람이 연락을 안 하는 이유
18948,다음 연애 완전 정복 패키지
36042,사주로 보는 그 사람의 '진짜' 속마음🚨
44371,도화살로 보는 연애운 전성기
26271,내 인생의 귀인 + 운명의 인연은? [실사판]
41566,2025년 놓치면 안 될 3번의 기회
25651,도화살 결혼운: 나는 결혼하면 잘 살까?
19325,내 인생 + 2022년 3번의 기회
20182,(추천할인) 내 인생 언제 필까? 3번의 기회
21667,사주 복록 풀이: 타고난 부동산 복 활용법
27326,내 사주의 가장 강한 복은 뭘까?
19304,사주로 보는 내 타고난 결혼운(추천 할인)
2236,전연인 어떻게 지낼까
20320,(추천할인) 우리 사귈 수 있을까?: 사귈 확률 계산기
33559,(사전예약자 전용)2024년 신년운세 보고서
36224,팔자 피는 결혼의 비밀: 연애 개운법
45658,이 사람과 결혼해도 될까?: 결혼 전 필수 궁합
24472,반드시 성공할 사업 분야와 기회는?
23854,2023년 놓치면 안 될 3번의 기회
43678,[창광] 1개 구매자 추가 할인 (2025년 신년운세 통합본)
22327,내 운명 지금 어디 있을까?
31205,2023년 하반기에 찾아올 3명의 인연
16423,오행五行으로 보는 성격 특징
18705,나는 결혼해도 되는 사주일까?
37773,[학부모 필독 사주] 내 아이의 재능과 운명
2142,재회확률 높이는 법
24077,[페이드마케팅] 2023년 신년운세 보고서
16223,솔로 탈출 언제 가능할까?
-,-
2202,사주로 보는 직업운
32788,[추천] 내 사주에 연애 상대 몇 명 있을까?_상대와 시기
48463,나만 몰랐던 호감시그널 : 붉은 실 인연🧶
26197,그 사람이 나에게 하고 싶은 말 (feat.편지카드)
21832,(추천할인) 놓치면 후회할 인연의 외모와 특징
43217,[2인 할인] 2025년 신년운세 보고서
40048,사주로 보는 인생 그래프: 일생풀이
23053,2023년 반드시 잡아야 할 대운은?
42754,그 사람과 나의 재회 공식 3가지
30680,그 운명의 러브 판타지
22792,사주오행 활용: 내가 갑이 되는 연애법
33654,절대로 결혼하면 안 되는 사람은?
19309,2022년 솔로탈출시기(추천 할인)
50542,[창광] 25년 하반기: 사랑운과 인연운
29192,바람기 잡는 법: 그 사람 사주의 바람기
43612,[추가구매] 2025 을사년 운세: 사랑과 인연
19302,2022년 신년운세 보고서(추천 할인)
-,[스킬 정보 없음] 블록: 고급신년운세_메뉴시작_할인가 (블록 ID: 495017)
20317,"(추천할인) 다음 연애 언제, 어디서 시작될까?"
23883,선택 타로: 이 사람 계속 만나도 될까?
20054,반드시 잡아야 할 내 인생의 귀인은? (추천할인)
13663,어떤 사람과 사귈 운명일까?
2465,사주로 보는 내 전성기
18725,헤어진 연인과의 재회 확률
18970,다음 달에 애인 생길까?
-,[스킬 정보 없음] 블록: 그사람 시작_할인 (블록 ID: 537206)
20248,(추천할인)내 인생 황금기와 암흑기: 사주팔자 풀이
2165,사주로 보는 재물운
1210,우리 얼마나 오래 갈까?
22525,부자되는 필승법 : 미래 재산 확인하기
26057,사주 작명과 길일: 우리 아이 어떤 이름이 좋을까?
29193,내 사주 속 최고의 겉궁합 VS 속궁합 상대는?
36439,"짝이 있는 그 사람, 나에게 올까?"
23882,(추천할인) 내 운명 지금 어디 있을까?
30379,"내 사주의 천지인(天地人): 천운과 미래의 집, 그리고 인연"
55789,2026 신년운세 즉문즉답: 애정・재물・직업・대운
39553,"타고난 내 몸 살리는 ""사주 오행"" 다이어트 💪🏻"
25845,[속마음] 💕현재 그의 진짜 속마음💕
30217,친구 VS 연인: 우리 둘 관계 어디까지?
36508,내 사주에 적힌 운명의 배우자
2149,2022년 월별 운세
56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법
50773,[창광] 25년 하반기: 직업운과 합격운
2503,그 사람이 보는 내 이미지
22955,(추천할인) 2023년 신년운세 보고서
19221,궁합 완전정복 패키지
2417,사주로 보는 그 사람 연애 유형
36629,[본 스킬] 1개 구매자 추가 할인
19299,2022년 솔로탈출시기 + 내 운명의 상대
56416,[창광] 26년 병오년 사랑운과 인연운
19206,그 사람 공략법: 속마음 + 3번의 유혹 기회
17147,지원한 회사에 합격할 수 있을까?
25450,사주 일생 풀이: 시기별 길운과 복록
2425,이달의 합격운
-,[스킬 정보 없음] 블록: 운명의 상대_보강_할인 인트로(타스킬연결용) (블록 ID: 537192)
32368,"[얼리버드] 싸움 없는 결혼 준비, 올인원 노션 템플릿"
32529,2024년 솔로 탈출 보고서
23894,[연말할인] 2023년에 솔로 탈출할 수 있을까?
22956,2023년 나에게 찾아올 12가지 행운
-,[스킬 정보 없음] 블록: 🎁궁합패키지1_인트로_앱 (블록 ID: 540026)
20183,내 운명의 상대(추천 할인)
38596,"설레는 2024년 봄, 나에게 찾아올 3가지 변화"
18964,이번 달에 애인 생길까?
22564,심층 궁합: 그 사람과 사귀면 어떨까?
21073,(추천할인) 타고난 부: 내 사주로 평생 모을 재산은?
18647,둘 중 누가 더 좋아할까?
22790,(추천할인) 일생 풀이: 천운과 타고난 복(福)
2422,특정 날짜 내 사주 운세
20908,[타고난 궁합 사용자 전용] 그 사람과 나의 사주궁합
19217,나는 어떤 사람과 결혼하게 될까?
56516,[창광] 26년 병오년 직업운과 합격운
21140,(추천할인) 솔로 탈출 가능할까?
19010,👀후방주의: 스킨십 궁합 패키지
25330,[2인 할인] 2023년 신년운세 보고서
16379,썸 어떻게 될까?
2428,사주로 보는 전생과 현생
29757,그 사람 미리보기
20314,(추천할인) 그 사람과 나의 속궁합
24408,내 아이는 출세할 사주일까? (연속구매 할인)
40180,결혼 시뮬레이션 : 우리 2세 미리보기
24176,그 사람과 내가 결혼할 확률은?
22063,(추천할인) 내 사주에 연애 상대 몇 명 있을까?
24006,그 사람의 진짜 속마음을 읽어줄게!
-,[스킬 정보 없음] 블록: 3번의기회_스스인트로_미로그인 (블록 ID: 555675)
2429,그 사람과 사귀면 어떨까?
33271,2024년 나에게 찾아올 12가지 행운
23705,그 사람 얼마나 잘 지낼까?
44866,"솔로 n년, 연애하고 싶다! 연애 슬럼프 탈출"
18502,그 사람이랑 결혼하면 어떨까?
18962,솔로탈출 패키지: 솔탈확률 + 3개월 연애운
18646,그 사람 나랑 '어디까지' 상상해봤을까?
43447,2025년 나에게 찾아올 12가지 행운
43848,[깜짝할인] 내 인생 황금기와 암흑기: 사주팔자 풀이
25338,(추천할인) 내 사주의 연애와 결혼: 운명의 두 사람
41698,[추가구매] 2024 갑진년 하반기 사랑과 인연
50344,[추가구매] 2025 을사년 하반기 애정운
19228,(임시)🎉 사전예약자 전용 🎉 2022년 하반기 운세 보고서
16453,십성十星으로 본 찐성격
56614,"[창광] 신년운세 통합본 ""2026년 병오년"""
19060,다음 달엔 짝사랑 끝낼 수 있을까?
20249,(추천할인) 인생 피는 필승 개운법: 일주풀이
18104,전연인 어떻게 지낼까 + 재회확률 높이는 법
19621,그 사람과 나의 연애 궁합 어떨까?
-,[스킬 정보 없음] 블록: 🚀일주_온보딩 푸시용_5칸 (블록 ID: 524928)
22954,인생 피는 살풀이: 반드시 주목해야 할 살은?
26258,반드시 잡아야 할 내 인생의 귀인은? [실사판]
23845,재회운 : 끊어진 인연과 다시 이어질 수 있을까
16442,지금 직장 퇴사해도 될까?
43847,[깜짝할인] 내 인생 언제 필까?: 3번의 기회🔑
17806,운명의 상대 공략법
26646,사주로 보는 자녀교육: 우리 아이 어떻게 키울까?
-,[스킬 정보 없음] 블록: 일주_보강_인트로_추천스킬할인 (블록 ID: 537034)
25204,플러팅 타로: 내가 끌리는 VS 내게 끌리는 사람
22791,(추천할인) 사주 살풀이: 타고난 살과 2023년의 살
24142,그 사람의 앞으로 행동을 알려줄게!
2414,사주로 보는 연애성향
33085,2024년 커플 관계 보고서
39784,그 사람과 애인… 언제 헤어질까?
23222,그 사람 나한테 왜 이럴까?
18146,선택타로 - A vs B
57670,2026 병오년 운세: 사랑과 인연
18959,사주로 보는 연인 궁합 + 속궁합
-,[스킬 정보 없음] 블록: 속궁합_3차보강_할인 인트로 (블록 ID: 537190)
22261,(추천할인) 내 사주의 전성기: 인생 피는 나이는?
16948,내 성격 분석 보고서
28003,사주로 보는 미래 : 앞으로의 10년
26198,지금 내 생각하는 사람 누굴까?
43844,[깜짝할인] 사주로 보는 결혼수: 나는 언제 결혼할까?
56254,결혼 궁합: 부부 합과 결혼 후 모습
17047,3개월 안에 취업할 수 있을까?
25337,(추천할인) 사주로 보는 그 사람의 속마음
49921,연애 무물 타로: 11카드 스프레드
19004,🎉 사전예약 D-0 🎉 2021년 하반기 운세 LITE
16396,우리 사랑 깊어지려면?
19326,2022년에 커리어 성공할 수 있을까?
41170,2025년 솔로 탈출 보고서
47638,"🏆재물, 커리어, 학업: 황금 타이밍"
29796,사주로 보는 색기: 그 사람 침대에서 어떨까?
25839,내 사주의 인생 2막 언제 올까?
-,[스킬 정보 없음] 블록: 3번의기회_스스인트로_로그인 (블록 ID: 555677)
27346,잘 보이는 법: 내가 보는 나 VS 남이 보는 나
18648,내가 관심 있는 거 눈치챘을까?
31436,(추천할인) 2023년 하반기에 찾아올 3명의 인연
19177,이번 달엔 짝사랑 끝낼 수 있을까?
-,[스킬 정보 없음] 블록: 사주풀이 보강_스킬연결용할인_인트로 (블록 ID: 539240)
45625,내 사주에 결혼? 필수 vs 선택
40157,"2024년 여름 운세: 5,6,7월의 세 가지 뜨거운 변화❤️‍🔥"
23317,"[속마음] 연락 없는 그 사람, 지금 무슨 생각일까?"
36511,2024 갑진년 운세: 재물과 재테크
55195,사주 살풀이: 타고난 살과 2026년의 살
26242,(추천할인) D-DAY 재회 타로: 다시 만날 수 있을까?
36557,[사전 예약] 2024년 갑진년 신년운세
-,[스킬 정보 없음] 블록: 결혼운보강_인트로_스킬연결할인 (블록 ID: 553921)
19215,다음 연애 상대와의 궁합은?
33557,[연속 할인] 2024년 신년운세 보고서
23895,[연말할인] 2023년에 우리 사이 어떨까?
25403,"사주로 보는 내 집 마련, 언제 가능할까?"
42033,[창광_24하반기] 1개 구매자 추가 할인
-,[스킬 정보 없음] 블록: 살풀이_보강_인트로(할인)_스킬연결용 (블록 ID: 538610)
18643,걔네 서로 좋아할까?
43416,[히든스킬] 내 사주의 연애와 결혼: 운명의 두 사람
40749,난 누구랑 결혼할까? : 운명의 후보 TOP 2
22230,(추천할인) 그 사람과 나의 결혼 궁합
19589,내 사주로 올해 안에 부자 되는 법
37441,손금으로 보는 운명의 배우자: 연애와 결혼
22987,다음 연애의 시작 | 새로운 인연
18709,"그때 그 느낌, 혹시 시그널이었을까?"
19687,놓치기 싫은 그 사람 연애 스타일
2366,지금 헤어져도 될까
46384,이번 달 임신 확률은?
18965,내 운명의 상대 + 2021 금성궁 연애운 그래프
19688,그 사람을 유혹할 3번의 기회_추천할인
2152,내 성격유형 분석
57010,2026 신년 애정운: 연애/재회/미혼/기혼
17443,우리 사귈 수 있을까? : 사귈 확률 계산기
31501,[추천] 일생 풀이: 천운과 타고난 복(福)_부자 사주
-,[스킬 정보 없음] 블록: 배우자시기_할인인트로 (블록 ID: 419952)
35626,사업 vs 직장: 경제적 자유 누리는 법
18711,사주로 보는 운명의 집
24439,그 사람이 너를 좋아하는지 알려줄게!
19176,그 사람을 유혹할 3번의 기회
2363,그 사람이 바라는 내 모습은?
24573,[연락운] 그 사람은 언제 연락이 올지 알려줄게!
19303,사주 살풀이: 타고난 살과 2022년의 살(추천 할인)
2424,사주로 보는 강점과 적성
16443,다른 회사로 이직하면 어떨까?
16450,둘 중 누구를 선택해야 할까?
24871,1년 뒤 그 사람과 무슨 사이일까?
25412,그 사람이 나를 향해 품고 있는 마음
28813,운BTI: 내 사주의 타고난 기질과 천운(天運)은?
2273,전생 알아보기
-,[스킬 정보 없음] 블록: 사귈확률_할인인트로_스킬추천연결 (블록 ID: 419974)
19312,[비밀쿠폰 전용] 2022년 신년운세 보고서
38469,"핵심 임신운👼🪽 이 달 내로의 임신가능성? (미혼, 기혼 모두 가능) 1카드, 1500자"
43845,[깜짝할인] 내 운이 트이는 동네는?(서울편)
57439,2026년에 찾아올 두 명의 인연
18726,그 사람과 왜 헤어지게 된 걸까?
40741,"내 운명의 연애, 몇 번 남았을까? (AB 테스트용)"
-,[스킬 정보 없음] 블록: 이름풀이_할인인트로 (블록 ID: 419940)
19327,올해의 귀인과 악인 누구일까?
23848,지금 그 사람의 속마음은?
22724,☯️2023년 신년운세 보고서
18400,나는 지금 상승세 vs 하락세?
18947,사주로 보는 재테크 비법 + 대박 부업운
21150,(추천할인) 그 사람 아직 나한테 미련 있을까?
43348,[히든스킬] 내 사주에 연애 상대 몇 명 있을까?
22065,"가장 긴 연애, 운명적 사건은?"
23153,(추천 할인) D-DAY 타로: 솔로 탈출까지 며칠 남았을까?
19324,손금으로 보는 내 전생
44668,10년 뒤 내 통장잔고는?
20316,(추천할인) 그 사람과 나의 사주궁합
2227,동갑vs연하vs연상
47407,{{이름}}[[이의/의]] 결혼 궁합 현실판: 돈?💰 사랑?❤️
2237,그 사람의 변심 이유
45526,"재물운 심층 분석: 30년 뒤, 상위 % 일까?"
49882,그 사람의 숨겨진 진짜 속마음 💟
29257,[키스데이] 애쓰지 않아도 맺어질 하늘의 인연
39751,3년 안에 닥칠 3번의 위기
53710,내 사주 일복: 평생 일할 팔자 vs 놀고먹는 팔자
-,[스킬 정보 없음] 블록: 손금_시작 (블록 ID: 358266)
29423,[1~5단계] 재회 코칭 프리패스
47737,"'OO세, 이 선택으로 운명이 바뀝니다'"
18659,사주로 보는 가족운
39332,(업셀링_판밍밍) 재회 코칭 프리패스
523,결혼한다면 어떨까?
26335,"다음 연애 언제, 어디서 시작될까?"
24748,지금 그 사람의 감정은?
-,[스킬 정보 없음] 블록: 궁합_할인인트로 (블록 ID: 419984)
25332,그 사람 나한테 어떻게 행동할까?
20083,3개월안에애인생길까_추천할인
28434,"내 사주의 좋은 연, 나쁜 연, 이상한 연"
2128,연애운 높이는 노하우
18702,내 사주로 연예인이 된다면?
48925,{{이름}}[[이의/의]] 연애 O X : 직진해도 될까?
-,[스킬 정보 없음] 블록: 3번의기회_인트로_스킬연결할인 (블록 ID: 558065)
18653,내 SNS 염탐하는 사람 있을까?
55361,[2인 할인] 2026년 신년운세 보고서
27414,"대기업 VS 스타트업, 내 사주와 더 맞는 곳은?"
18601,내 인생의 귀인: 놓치면 안 될 한 사람
2272,나는 어떤 타입과 어울릴까?
-,[스킬 정보 없음] 블록: 운명공략_할인인트로 (블록 ID: 426989)
19918,이번 달 우리 사이 어떨까?
37442,2024 갑진년 운세: 건강과 이사
50774,[창광] 25년 하반기: 재물운과 문서운
35698,재회 사주: 그 사람과 다시 만날 운명일까?
16446,솔로탈출 확률 계산기
25304,별자리x타로: 우주가 말하는 미래의 연인은?
23889,[이별과 재회] 너와 다시 만날 수 있을까?✨
53875,짝사랑에서 썸까지: 우리 무슨 사이일까?
25171,그 사람과 나는 앞으로 어떻게 될까?
-,[스킬 정보 없음] 블록: 고민OX_1번이상시 (블록 ID: 176420)
34717,놓치면 안 될 3번의 기회: 50세 중년 이후
46483,"💵 재물운 분석 완결판: 부업, 재테크, 귀인"
2250,면접 합격할 수 있을까?
20318,(추천할인) 오행으로 보는 성격 특징
2296,지금 하는 거...계속 할까 말까?
19362,2022년 신년운세 LITE
11293,사주로 보는 성격
16849,직장 동료 왜 그럴까?
27442,숨겨진 욕망 풀이: 내 사주의 색욕은 어떨까?
2217,그날 헤어지지 않았다면
19428,2022년의 커리어 + 인간관계 어떨까?
49917,연애 무물 타로: 7카드 스프레드
-,[스킬 정보 없음] 블록: 2022신년운세_앱인트로_스킬연결할인용(5%) (블록 ID: 574677)
23251,지금 나를 몰래 좋아하는 사람은?
37876,손금 연애운: 솔로탈출 가능할까?
30055,"타로 직장운: 지금 고민, 풀리는 시기는?"
-,[스킬 정보 없음] 블록: 사주풀이_보강_할인_인트로 (블록 ID: 537220)
2498,오늘의 내 사주 운세
536,시험 잘 볼 수 있을까
18532,사내 연애해도 될까?
2240,연애할 때 내 매력은 뭘까?
20319,(추천할인) 사주로 보는 운명의 집
2385,연락할까 말까?
26683,그 사람이 느끼는 진짜 감정을 알려줄게!
19369,[크리스마스 쿠폰 전용] 2022년 신년운세 보고서
34052,2024년 솔로 탈출 시기 (사전예약)
25799,당신에게 말하지 않은 그 사람의 진심
2170,우리가 헤어진다면
26801,[재회/속마음] 편지로 받아보는 그 사람의 진심
21144,(추천할인) 짝사랑 이루어질까?
43220,[연속 할인] 2025년 신년운세 보고서
26893,내 사주의 찐성격과 이상형은?
43849,"[깜짝할인] 내 운명의 연애, 몇 번 남았을까?"
26515,(추천할인) 사주로 보는 결혼수: 나는 언제 결혼할까?
25176,상대방의 현재 속마음 심층 분석
2449,그 사람과 가까워지는 법
18668,사주로 보는 성격유형
-,[스킬 정보 없음] 블록: 오늘운_결과전광고 (블록 ID: 578201)
2263,내 애인 바람기
39190,"임신운👼🪽내 아이 만날 가능성, 성별, 성격, 재능, 어떤 아이일까? (4카드, 7500자)"
41171,2025년 커플 관계 보고서
26090,나를 얼마나 좋아하고 있을까?
2203,사주로 보는 건강운
24411,2023년 일년신수: 시기별 길운 풀이
2395,내 첫인상 어떨까?
21370,(추천할인) 2022년 하반기 운세 보고서
-,[스킬 정보 없음] 블록: 정식하반기_인트로_스킬연결할인용 (블록 ID: 553489)
30280,그 사람의 진짜 감정은 뭘까?
54271,연락타로: 그 사람 속마음 & 행동지침
25396,그 사람이 너에게 하고 싶은 말을 전해줄게!
25999,"[새인연/솔로탈출] 💕 곧, 내게 직진 할 이성"
56255,2026년 놓치면 안 될 3번의 기회
21304,(추천할인) 2022년 하반기 솔로탈출시기
18004,연락 안 오는 이유 + 연락 할까 말까?
18986,2021년 하반기 월별운세
38420,연애 가이드: 운명의 사랑을 향하여💘
28764,"(재회) 조만간 상대에게 찾아올, 심경의 변화❤️"
-,[스킬 정보 없음] 블록: 오늘의 운세_결과전광고 (블록 ID: 577523)
2262,내 연애 애착유형 분석
55492,재회 타로 즉문즉답: 그 사람 속마음·재회 가능성
538,이직해도 될까
-,[스킬 정보 없음] 블록: 3카드솔로_시작_추천연결스킬 (블록 ID: 419992)
20909,[타고난 궁합 사용자 전용] 그 사람과 나의 속궁합
19368,2022년 1월 운세 보고서
23890,(추천 할인) 2023년 솔로 탈출 시기
25033,[재회운] 너의 재회운을 알려줄게!
2216,그 회사가 나랑 잘 어울릴까?
43415,[히든스킬] 내 사주에 쓰인 운명의 배우자
56515,[창광] 26년 병오년 재물운과 문서운
18635,사주로 보는 대박 부업운
26635,[홍연紅線] 운명의 붉은실로 이어진 나의 인연은? #월하노인
26212,타로 취업운: 이직해도 괜찮을까?
23881,아름답고 소중한 내 짝사랑의 결말💕
26257,사주로 보는 은퇴 플랜: 나도 경제적 자유 누릴 수 있을까?
18637,헤어진 사람 언제 잊을 수 있을까?
34775,[10카드] 그 사람의 진짜 속마음 심층분석
24901,"멀어진 그 사람, 다시 만날 수 있을까?"
24869,그 사람도 내 생각을 할까?
-,[스킬 정보 없음] 블록: 살풀이2022_보강_인트로_스킬연결할인 (블록 ID: 570879)
18817,2021 금성궁 연애운 + 운세 그래프
25175,그 사람의 진짜 속마음
18144,그 사람 손절할까 말까?
25773,MBTI 종결 타로: 내 평생의 인연은?
-,[스킬 정보 없음] 블록: 정식하반기_인트로_할인 (블록 ID: 552645)
19218,연애 새로고침 패키지: 이별극복 + 다음 연애 언제?
24241,(추천할인) 도화살 풀이: 내 매력 언제 터질까?
2219,다른 사람이 보는 내 매력과 장점은?
2248,서류 합격할 수 있을까?
-,[스킬 정보 없음] 블록: 3카드_취업운일반_할인인트로_직업운연결 (블록 ID: 537084)
2445,짝남이랑 사귈 수 있을까? : 고백 성공률 계산기
37871,[판밍밍 추천] D-DAY 재회 타로 : 다시 만날 수 있을까?
40444,놓치면 후회할 세 가지 속삭임
2196,헤어진 사람 잊는 법
21502,[비밀쿠폰 전용] 2022년 하반기 운세 보고서
38138,내 운명의 재물: 나가는 돈 & 들어오는 돈
42030,[창광] 24년 하반기 이동운과 건강운
2265,내 연애가 유독 힘든 이유
24604,"먼저 연락할까, 좀 더 기다릴까?"
2155,이달의 취업운은 어떨까?
2351,퇴사할까 말까
53974,이 3번의 기회로: 상위 N% 부자가 됩니다
34386,[3인 할인] 2024년 신년운세 보고서
